pollutant,country,month_day,value_numeric_mean,value_datetime_begin,day
O3,Denmark,521.0,80.58494318181819,2023-05-21 14:00:00,
O3,Denmark,521.0,80.58494318181819,2023-05-21 15:00:00,
SO2,Estonia,521.0,0.7659143652777778,2023-05-21 16:00:00,
CO,Andorra,521.0,0.0521739130434782,2023-05-21 05:00:00,
SO2,Estonia,521.0,0.7659143652777778,2023-05-21 17:00:00,
CO,Andorra,521.0,0.0521739130434782,2023-05-21 22:00:00,
SO2,Estonia,521.0,0.7659143652777778,2023-05-21 20:00:00,
SO2,Estonia,521.0,0.7659143652777778,2023-05-21 15:00:00,
CO,Spain,521.0,0.299566265060241,2023-05-21 20:00:00,
O3,Switzerland,521.0,53.3665257925072,2023-05-20 23:00:00,
O3,Switzerland,521.0,53.3665257925072,2023-05-21 00:00:00,
SO2,Estonia,521.0,0.7659143652777778,2023-05-21 13:00:00,
SO2,Estonia,521.0,0.7659143652777778,2023-05-21 18:00:00,
O3,Switzerland,521.0,53.3665257925072,2023-05-21 01:00:00,
SO2,Estonia,521.0,0.7659143652777778,2023-05-21 12:00:00,
O3,Switzerland,521.0,53.3665257925072,2023-05-21 02:00:00,
O3,Switzerland,521.0,53.3665257925072,2023-05-21 03:00:00,
O3,Switzerland,521.0,53.3665257925072,2023-05-21 04:00:00,
SO2,Estonia,521.0,0.7659143652777778,2023-05-21 11:00:00,
O3,Switzerland,521.0,53.3665257925072,2023-05-21 05:00:00,
SO2,Estonia,521.0,0.7659143652777778,2023-05-21 14:00:00,
O3,Denmark,521.0,80.58494318181819,2023-05-21 12:00:00,
CO,Spain,521.0,0.299566265060241,2023-05-21 12:00:00,
O3,Germany,521.0,74.05953995181946,2023-05-21 20:00:00,
CO,Spain,521.0,0.299566265060241,2023-05-21 19:00:00,
CO,Spain,521.0,0.299566265060241,2023-05-21 18:00:00,
CO,Spain,521.0,0.299566265060241,2023-05-21 17:00:00,
CO,Spain,521.0,0.299566265060241,2023-05-21 16:00:00,
CO,Spain,521.0,0.299566265060241,2023-05-21 14:00:00,
CO,Spain,521.0,0.299566265060241,2023-05-21 15:00:00,
CO,Spain,521.0,0.299566265060241,2023-05-21 21:00:00,
O3,Switzerland,521.0,53.3665257925072,2023-05-21 06:00:00,
CO,Spain,521.0,0.299566265060241,2023-05-21 00:00:00,
CO,Spain,521.0,0.299566265060241,2023-05-21 22:00:00,
CO,Spain,521.0,0.299566265060241,2023-05-21 01:00:00,
CO,Spain,521.0,0.299566265060241,2023-05-21 02:00:00,
O3,Denmark,521.0,80.58494318181819,2023-05-21 09:00:00,
CO,Spain,521.0,0.299566265060241,2023-05-21 03:00:00,
CO,Spain,521.0,0.299566265060241,2023-05-21 04:00:00,
CO,Spain,521.0,0.299566265060241,2023-05-21 05:00:00,
CO,Spain,521.0,0.299566265060241,2023-05-20 23:00:00,
CO,Spain,521.0,0.299566265060241,2023-05-21 06:00:00,
O3,Denmark,521.0,80.58494318181819,2023-05-21 10:00:00,
CO,Spain,521.0,0.299566265060241,2023-05-21 07:00:00,
CO,Spain,521.0,0.299566265060241,2023-05-21 08:00:00,
CO,Spain,521.0,0.299566265060241,2023-05-21 09:00:00,
CO,Spain,521.0,0.299566265060241,2023-05-21 10:00:00,
CO,Spain,521.0,0.299566265060241,2023-05-21 11:00:00,
CO,Spain,521.0,0.299566265060241,2023-05-21 13:00:00,
O3,Denmark,521.0,80.58494318181819,2023-05-21 11:00:00,
O3,Germany,521.0,74.05953995181946,2023-05-21 19:00:00,
O3,Germany,521.0,74.05953995181946,2023-05-21 21:00:00,
O3,Switzerland,521.0,53.3665257925072,2023-05-21 07:00:00,
CO,Sweden,521.0,0.12096201125,2023-05-21 15:00:00,
O3,Switzerland,521.0,53.3665257925072,2023-05-21 09:00:00,
